curr_timestamp,timestamp,Radar id,Frame number,x,y,z,doppler,snr,range
2025-10-05 13:53:07.682,0.1,0,2,-1.62447,2.81475,0.19752,-0.812,93,3.256
2025-10-05 13:53:07.705,0.2,0,4,3.85812,8.53368,12.30735,-0.487,136,15.465
2025-10-05 13:53:07.717,0.30000000000000004,0,6,-0.91377,8.61039,4.5203,-0.162,55,9.768
2025-10-05 13:53:07.842,0.45,0,9,0.0,35.41245,-20.0581,-0.162,68,40.699
2025-10-05 13:53:07.941,0.55,0,11,4.82265,12.12443,8.3018,-0.65,52,15.465
2025-10-05 13:53:08.308,0.9,0,18,23.14871,57.36635,-0.33733,-8.446,51,61.862
2025-10-05 13:53:10.149,2.75,0,55,-4.61959,5.89824,-7.47266,-2.436,55,10.582
2025-10-05 13:53:10.452,3.0500000000000003,0,61,-3.65506,11.52719,15.34249,-0.162,54,19.535
2025-10-05 13:53:10.889,3.5,0,70,-58.07484,27.1014,55.30769,-9.258,54,84.653
2025-10-05 13:53:10.988,3.6,0,72,-1.59909,3.19189,4.44067,-0.162,61,5.698
2025-10-05 13:53:11.289,3.9000000000000004,0,78,-0.68532,6.90818,2.3396,-0.162,95,7.326
2025-10-05 13:53:11.655,4.25,0,85,-1.37065,3.38767,-3.23987,-0.487,144,4.884
2025-10-05 13:53:12.339,4.95,0,99,-0.60918,5.42857,3.54437,-0.487,128,6.512
2025-10-05 13:53:12.496,5.1000000000000005,0,102,3.65506,9.04526,10.93111,-0.65,64,14.651
2025-10-05 13:53:12.496,5.1000000000000005,0,102,9.13765,11.02043,-3.1175,-0.65,64,14.651
2025-10-05 13:53:12.597,5.2,0,104,4.11194,8.86981,10.91256,-0.65,94,14.651
2025-10-05 13:53:12.597,5.2,0,104,-0.22844,7.24865,-1.03499,-0.487,110,7.326
2025-10-05 13:53:12.739,5.3500000000000005,0,107,-0.22844,6.86707,-2.54115,-0.812,84,7.326
