curr_timestamp,timestamp,Radar id,Frame number,x,y,z,doppler,snr,range
2025-10-05 14:20:57.612,0.45,0,9,2.94435,18.68657,-14.11897,-0.812,54,23.605
2025-10-05 14:20:57.660,0.5,0,10,-3.80735,58.35698,17.5156,-0.162,47,61.048
2025-10-05 14:20:57.716,0.55,0,11,3.68044,19.32161,-13.05115,-0.65,73,23.605
2025-10-05 14:20:59.162,2.0,0,40,2.84282,21.74192,-6.21645,-0.487,68,22.791
2025-10-05 14:20:59.220,2.0500000000000003,0,41,0.71071,21.5391,-7.41614,-0.487,46,22.791
2025-10-05 14:20:59.220,2.0500000000000003,0,41,18.47836,11.27433,7.13282,-0.487,46,22.791
2025-10-05 14:21:00.828,3.6500000000000004,0,73,0.0,20.73506,4.23551,-0.65,55,21.163
2025-10-05 14:21:00.864,3.7,0,74,0.0,21.09097,1.74725,-0.487,77,21.163
2025-10-05 14:21:00.965,3.8000000000000003,0,76,0.0,21.15885,0.43018,-0.487,48,21.163
2025-10-05 14:21:01.032,3.85,0,77,-0.65994,20.77367,3.98761,-0.487,117,21.163
2025-10-05 14:21:01.133,3.95,0,79,-0.65994,20.91231,3.18152,-0.487,131,21.163
2025-10-05 14:21:01.165,4.0,0,80,-0.65994,21.0133,2.42651,-0.487,75,21.163
2025-10-05 14:21:01.210,4.05,0,81,-0.65994,20.81577,3.76169,-0.487,130,21.163
2025-10-05 14:21:01.263,4.1000000000000005,0,82,-11.87895,16.66624,-5.38601,-8.77,51,21.163
2025-10-05 14:21:01.263,4.1000000000000005,0,82,13.85877,15.41222,-4.27551,-8.77,51,21.163
2025-10-05 14:21:01.263,4.1000000000000005,0,82,-0.65994,20.61485,4.74072,-0.487,106,21.163
2025-10-05 14:21:01.364,4.2,0,84,-0.65994,20.34569,5.78787,-0.65,89,21.163
2025-10-05 14:21:01.364,4.2,0,84,0.0,8.84305,-1.40313,-0.162,107,8.954
2025-10-05 14:21:01.411,4.25,0,85,-0.65994,20.61822,4.72606,-0.325,118,21.163
2025-10-05 14:21:01.511,4.3500000000000005,0,87,-0.65994,19.81965,7.39108,-0.162,64,21.163
2025-10-05 14:21:01.568,4.4,0,88,-1.31988,20.73558,4.02193,-0.65,72,21.163
2025-10-05 14:21:01.711,4.55,0,91,-1.31988,19.89991,7.08051,-0.487,92,21.163
2025-10-05 14:21:02.010,4.8500000000000005,0,97,-1.31988,18.33778,10.4817,-0.487,50,21.163
2025-10-05 14:21:02.069,4.9,0,98,-0.65994,17.74324,11.51625,-0.162,55,21.163
2025-10-05 14:21:02.110,4.95,0,99,-1.31988,18.46893,10.24884,-0.325,122,21.163
2025-10-05 14:21:02.672,5.5,0,110,-1.97982,17.77816,11.30926,-0.325,86,21.163
2025-10-05 14:21:03.014,5.8500000000000005,0,117,-2.63977,15.14756,14.54184,-0.325,97,21.163
2025-10-05 14:21:03.177,6.0,0,120,-2.63977,16.39711,13.11672,-0.325,69,21.163
