curr_timestamp,timestamp,Radar id,Frame number,x,y,z,doppler,snr,range
2025-10-05 13:52:47.360,0.05,0,1,2.84282,5.47817,11.46823,-0.812,96,13.024
2025-10-05 13:52:47.360,0.05,0,1,-1.52294,15.77259,3.73162,-0.487,108,16.279
2025-10-05 13:52:47.366,0.1,0,2,-23.47869,17.69849,6.52245,-6.984,61,30.117
2025-10-05 13:52:47.366,0.1,0,2,8.45233,28.88105,-1.21271,-6.984,61,30.117
2025-10-05 13:52:47.366,0.1,0,2,8.93459,9.43731,0.84998,-0.162,79,13.024
2025-10-05 13:52:47.366,0.1,0,2,3.65506,7.98549,-9.6169,-0.162,79,13.024
2025-10-05 13:52:47.373,0.15000000000000002,0,3,3.04588,3.85315,11.17806,-0.812,108,12.21
2025-10-05 13:52:47.373,0.15000000000000002,0,3,-0.45688,7.26064,-0.86064,-0.487,89,7.326
2025-10-05 13:52:47.401,0.30000000000000004,0,6,21.21966,27.0167,-10.12503,-0.162,51,35.815
2025-10-05 13:52:47.401,0.30000000000000004,0,6,7.81777,24.22495,25.19378,-0.162,51,35.815
2025-10-05 13:52:47.421,0.35000000000000003,0,7,-1.77677,3.61249,4.0321,-0.162,58,5.698
2025-10-05 13:52:47.421,0.35000000000000003,0,7,2.28441,3.13986,-11.57566,-0.162,82,12.21
2025-10-05 13:52:47.468,0.4,0,8,2.66515,4.63297,10.97751,-0.812,99,12.21
2025-10-05 13:52:48.125,1.05,0,21,-1.92906,15.06083,2.93765,-0.487,100,15.465
2025-10-05 13:52:48.167,1.1,0,22,3.04588,6.11004,10.12241,-0.487,99,12.21
2025-10-05 13:52:48.225,1.1500000000000001,0,23,5.178,35.30241,-21.21825,-0.162,89,41.512
2025-10-05 13:52:48.266,1.2000000000000002,0,24,3.04588,5.06334,10.68449,-0.325,118,12.21
2025-10-05 13:52:48.266,1.2000000000000002,0,24,7.61471,9.54408,0.00476,-0.325,118,12.21
2025-10-05 13:52:48.430,1.35,0,27,3.04588,4.804,10.80358,-0.487,174,12.21
2025-10-05 13:52:48.430,1.35,0,27,7.61471,9.48806,-1.03253,-0.487,174,12.21
2025-10-05 13:52:48.466,1.4000000000000001,0,28,-0.22844,6.44154,-3.48149,-0.162,86,7.326
2025-10-05 13:52:48.529,1.4500000000000002,0,29,3.04588,3.82518,11.18766,-0.487,172,12.21
2025-10-05 13:52:48.629,1.55,0,31,3.04588,4.00858,11.12327,-0.487,188,12.21
2025-10-05 13:52:48.629,1.55,0,31,7.61471,9.49534,-0.96329,-0.487,188,12.21
2025-10-05 13:52:48.666,1.6,0,32,3.04588,4.6216,10.88286,-0.487,138,12.21
2025-10-05 13:52:48.666,1.6,0,32,-0.45688,7.31147,-0.00807,-0.162,122,7.326
2025-10-05 13:52:48.729,1.6500000000000001,0,33,3.04588,4.98379,10.72183,-0.487,166,12.21
2025-10-05 13:52:48.829,1.75,0,35,3.04588,3.73229,11.21899,-0.487,158,12.21
2025-10-05 13:52:48.870,1.8,0,36,3.04588,5.46715,10.48361,-0.487,153,12.21
2025-10-05 13:52:48.870,1.8,0,36,7.61471,9.51881,-0.69405,-0.487,153,12.21
2025-10-05 13:52:49.065,2.0,0,40,3.04588,6.02614,10.17258,-0.487,163,12.21
2025-10-05 13:52:49.129,2.0500000000000003,0,41,3.04588,4.47416,10.9443,-0.325,152,12.21
2025-10-05 13:52:49.333,2.25,0,45,2.66515,8.54774,8.30099,-0.162,65,12.21
2025-10-05 13:52:49.370,2.3000000000000003,0,46,-1.52294,3.90974,2.49926,-0.162,77,4.884
2025-10-05 13:52:49.531,2.45,0,49,-10.66059,12.99568,3.10604,-7.958,46,17.093
2025-10-05 13:52:49.570,2.5,0,50,-0.96453,15.27162,2.24212,-0.487,88,15.465
2025-10-05 13:52:49.670,2.6,0,52,-1.24374,3.64295,4.20081,-0.162,49,5.698
2025-10-05 13:52:49.933,2.85,0,57,0.0,11.37068,-0.75292,-0.162,79,11.396
2025-10-05 13:52:50.416,3.35,0,67,1.82753,3.9207,4.86737,-0.162,60,6.512
2025-10-05 13:52:50.416,3.35,0,67,-4.26424,2.55244,4.20766,-0.162,60,6.512
2025-10-05 13:52:50.916,3.85,0,77,-0.68532,7.26588,0.63533,-0.487,165,7.326
2025-10-05 13:52:51.320,4.25,0,85,-1.59909,3.1474,4.47232,-0.162,89,5.698
2025-10-05 13:52:51.419,4.3500000000000005,0,87,-1.24374,4.66796,3.02128,-0.162,78,5.698
2025-10-05 13:52:51.677,4.6000000000000005,0,92,2.84282,5.24417,9.7096,-0.162,65,11.396
2025-10-05 13:52:51.777,4.7,0,94,3.04588,7.10184,9.45302,-0.65,77,12.21
2025-10-05 13:52:51.777,4.7,0,94,7.23397,9.48718,-2.59544,-0.65,77,12.21
2025-10-05 13:52:51.877,4.800000000000001,0,96,-27.0576,18.90001,-4.94149,-9.582,49,33.373
