track_id,timestamp,Radar id,time_from_start,num assoc,range,doppler,x,y,z,vx,vy,vz,calc_dopp,is assoc,assoc_timestamp,assoc_x,assoc_y,assoc_z,assoc_dopp,z var,class
20,20.5,0,19.6,16,25.2,-1.4,-0.0,25.1,-2.4,0.0,-1.3,-0.1,-1.3,1,20.5,0.0,25.1,-2.2,-1.5,4.16,Human
20,20.55,0,19.65,17,25.2,-1.4,-0.0,25.1,-0.6,0.0,-1.2,1.4,-1.2,1,20.55,0.0,25.2,1.1,-1.6,4.58,Human
20,20.6,0,19.7,17,25.1,-1.4,-0.0,25.1,-0.6,0.0,-1.2,1.4,-1.2,0,,,,,,4.58,Human
20,20.65,0,19.75,18,24.7,-1.4,-0.4,24.7,-0.9,-0.4,-1.6,1.1,-1.6,1,20.65,-0.8,24.4,-1.3,-1.9,4.35,Human
20,20.7,0,19.8,19,24.5,-1.5,-0.2,24.4,-1.9,-0.2,-1.8,-0.1,-1.8,1,20.7,0.0,24.2,-3.6,-2.1,4.52,Human
20,20.8,0,19.9,20,24.4,-1.5,-0.5,24.3,-1.1,-0.6,-1.6,1.0,-1.7,1,20.8,-0.8,24.4,0.2,-2.8,4.51,Human
20,20.85,0,19.95,21,24.3,-1.6,-0.3,24.3,-0.4,-0.2,-1.5,1.7,-1.5,1,20.85,0.0,24.4,0.6,-2.9,4.41,Human
20,20.9,0,20.0,22,24.3,-1.6,-0.2,24.3,-0.1,-0.1,-1.4,2.0,-1.4,1,20.9,0.0,24.4,0.3,-1.1,4.22,Human
20,21.0,0,20.1,22,24.1,-1.6,-0.2,24.2,0.1,-0.1,-1.4,2.0,-1.4,0,,,,,,4.22,Human
20,21.05,0,20.15,22,24.0,-1.6,-0.2,24.1,0.2,-0.1,-1.4,2.0,-1.4,0,,,,,,4.22,Human
20,21.1,0,20.2,23,24.2,-1.6,-0.5,24.2,-1.1,-0.5,-1.2,0.4,-1.2,1,21.1,-0.8,24.3,-2.4,-1.8,4.33,Human
20,21.15,0,20.25,24,23.9,-1.6,-0.3,23.8,-1.4,-0.2,-1.6,-0.0,-1.6,1,21.15,0.0,23.5,-1.9,-1.9,4.17,Human
20,21.2,0,20.3,25,23.7,-1.7,-0.2,23.6,-1.7,-0.0,-1.7,-0.3,-1.7,1,21.2,0.0,23.5,-2.2,-2.1,4.02,Human
20,21.25,0,20.35,25,23.6,-1.7,-0.2,23.6,-1.7,-0.0,-1.7,-0.3,-1.7,0,,,,,,4.02,Human
20,21.3,0,20.4,26,23.6,-1.8,-0.1,23.5,-1.0,0.1,-1.6,0.4,-1.6,1,21.3,0.0,23.6,-0.1,-2.1,3.96,Human
20,21.35,0,20.45,27,23.5,-1.8,-0.0,23.5,-1.2,0.1,-1.6,0.2,-1.6,1,21.35,0.0,23.6,-1.5,-1.6,3.82,Human
20,21.4,0,20.5,28,23.5,-1.8,-0.0,23.5,-1.5,0.1,-1.5,-0.1,-1.5,1,21.4,0.0,23.5,-2.2,-1.5,3.71,Human
20,21.45,0,20.55,29,23.5,-1.8,-0.3,23.4,-1.7,-0.2,-1.5,-0.3,-1.4,1,21.45,-0.7,23.5,-2.1,-1.5,3.59,Human
20,21.5,0,20.6,30,23.5,-1.8,-0.5,23.5,-1.1,-0.4,-1.4,0.4,-1.4,1,21.5,-0.7,23.6,0.1,-1.6,3.58,Human
20,21.55,0,20.65,31,23.5,-1.8,-0.6,23.5,-0.9,-0.5,-1.3,0.6,-1.3,1,21.55,-0.7,23.6,-0.4,-1.6,3.48,Human
20,21.6,0,20.7,32,23.5,-1.8,-0.1,23.4,-1.3,0.2,-1.2,0.0,-1.2,1,21.6,0.7,23.5,-2.3,-1.6,3.43,Human
20,21.65,0,20.75,33,23.2,-1.8,-0.0,23.0,-2.1,0.2,-1.7,-0.8,-1.6,1,21.65,0.0,22.5,-3.5,-1.8,3.47,Human
20,21.7,0,20.8,34,23.0,-1.8,-0.0,22.8,-2.2,0.2,-1.8,-0.9,-1.7,1,21.7,0.0,22.7,-2.4,-1.9,3.37,Human
20,21.75,0,20.85,35,22.9,-1.8,-0.0,22.7,-2.3,0.2,-1.8,-1.0,-1.7,1,21.75,0.0,22.7,-2.3,-1.8,3.27,Human
20,21.8,0,20.9,36,22.8,-1.9,-0.3,22.6,-2.3,-0.2,-1.8,-1.0,-1.7,1,21.8,-0.7,22.7,-2.3,-1.6,3.17,Human
20,21.85,0,20.95,37,22.7,-1.9,-0.5,22.6,-2.0,-0.4,-1.7,-0.5,-1.6,1,21.85,-0.7,22.7,-1.2,-2.3,3.12,Human
20,21.9,0,21.0,37,22.6,-1.9,-0.5,22.5,-2.0,-0.4,-1.7,-0.5,-1.6,0,,,,,,3.12,Human
20,21.95,0,21.05,37,22.5,-1.9,-0.5,22.5,-2.0,-0.4,-1.7,-0.5,-1.6,0,,,,,,3.12,Human
20,22.0,0,21.1,38,22.6,-1.9,-0.6,22.6,-0.2,-0.5,-1.5,1.7,-1.5,1,22.0,-0.7,22.7,1.9,-1.5,3.45,Human
20,22.05,0,21.15,38,22.5,-1.9,-0.7,22.5,-0.1,-0.5,-1.5,1.7,-1.5,0,,,,,,3.45,Human
20,22.1,0,21.2,39,22.6,-1.8,-0.7,22.6,0.1,-0.5,-1.2,1.7,-1.2,1,22.1,-0.7,22.8,0.1,-1.5,3.36,Human
20,22.15,0,21.25,39,22.5,-1.8,-0.7,22.6,0.2,-0.5,-1.2,1.7,-1.2,0,,,,,,3.36,Human
20,22.2,0,21.3,39,22.5,-1.8,-0.8,22.5,0.2,-0.5,-1.2,1.7,-1.2,0,,,,,,3.36,Human
20,22.25,0,21.35,40,22.2,-1.8,-0.3,22.1,-0.1,0.0,-1.6,1.3,-1.6,1,22.25,0.0,22.0,-0.5,-1.9,3.29,Human
20,22.3,0,21.4,41,22.0,-1.7,-0.5,21.9,-1.1,-0.2,-1.7,0.1,-1.7,1,22.3,-0.7,21.8,-2.6,-1.8,3.37,Human
20,22.35,0,21.45,42,22.0,-1.8,-0.3,21.9,-1.1,0.1,-1.7,0.1,-1.7,1,22.35,0.0,21.9,-1.2,-1.6,3.29,Human
20,22.4,0,21.5,43,21.9,-1.8,-0.4,21.9,-0.3,-0.1,-1.6,0.9,-1.6,1,22.4,-0.7,21.9,1.1,-2.1,3.32,Human
20,22.45,0,21.55,44,22.8,-1.7,1.1,22.3,2.4,1.7,-0.9,4.1,-0.4,1,22.45,3.0,23.0,7.5,-1.1,4.62,Human
20,22.5,0,21.6,45,22.4,-1.7,0.6,22.1,1.5,1.1,-1.1,2.7,-0.9,1,22.5,0.0,22.0,-0.8,-1.5,4.77,Human
20,22.55,0,21.65,45,22.4,-1.7,0.7,22.1,1.6,1.1,-1.1,2.7,-0.9,0,,,,,,4.77,Human
20,22.6,0,21.7,45,22.3,-1.7,0.8,22.0,1.7,1.1,-1.1,2.7,-0.8,0,,,,,,4.77,Human
20,22.65,0,21.75,45,22.2,-1.7,0.8,22.0,1.9,1.1,-1.1,2.7,-0.8,0,,,,,,4.77,Human
20,22.7,0,21.8,45,22.1,-1.7,0.9,21.9,2.0,1.1,-1.1,2.7,-0.8,0,,,,,,4.77,Human
20,22.75,0,21.85,46,21.5,-1.7,0.3,21.2,-0.7,0.4,-1.8,-0.4,-1.8,1,22.75,0.0,21.0,-2.7,-1.8,5.16,Human
20,22.8,0,21.9,46,21.4,-1.7,0.3,21.2,-0.7,0.4,-1.8,-0.4,-1.8,0,,,,,,5.16,Human
