track_id,timestamp,Radar id,time_from_start,num assoc,range,doppler,x,y,z,vx,vy,vz,calc_dopp,is assoc,assoc_timestamp,assoc_x,assoc_y,assoc_z,assoc_dopp,z var,class,time_no_assoc,doppler history,range innov
11,5.2,0,5.15,16,21.9,-4.3,0.6,21.5,-3.4,-0.2,-4.8,-0.1,-4.7,1,5.2,0.7,21.5,-4.5,-4.2,5.98,Human,0,-4.223,0
11,5.25,0,5.2,17,21.8,-4.1,0.6,21.5,-3.3,-0.1,-4.6,-0.0,-4.5,1,5.25,0.7,21.7,-3.1,-3.9,5.61,Human,0,-3.898,0
11,5.3,0,5.25,18,21.8,-4.2,0.6,21.4,-3.7,-0.1,-4.5,-0.5,-4.3,1,5.3,0.7,21.5,-4.4,-4.4,5.35,Human,0,-4.385,0
11,5.35,0,5.3,19,21.4,-4.6,0.6,20.9,-4.1,-0.1,-4.7,-0.8,-4.5,1,5.35,0.7,20.6,-4.6,-5.0,5.1,Human,0,-5.035,0
11,5.4,0,5.35,19,21.2,-4.6,0.6,20.7,-4.1,-0.1,-4.7,-0.8,-4.5,0,,,,,,5.1,Human,0.05,-5.035,-0.232
11,5.5,0,5.45,20,20.5,-4.6,1.0,19.9,-4.7,0.4,-5.2,-1.5,-4.7,1,5.5,1.3,19.6,-5.4,-4.5,4.91,Human,0,-4.548,0
11,5.55,0,5.5,21,20.3,-4.7,0.8,19.9,-3.9,0.2,-4.9,-0.5,-4.7,1,5.55,0.6,20.2,-2.6,-4.7,4.9,Human,0,-4.71,0
11,5.6,0,5.55,22,20.2,-4.6,0.5,19.8,-3.8,-0.3,-4.7,-0.3,-4.5,1,5.6,0.0,20.0,-3.6,-4.5,4.68,Human,0,-4.548,0
11,5.65,0,5.6,23,19.8,-4.8,0.8,19.5,-3.3,0.1,-4.8,0.3,-4.7,1,5.65,1.2,19.4,-2.4,-5.0,4.56,Human,0,-5.035,0
11,5.7,0,5.65,24,19.6,-4.7,1.0,19.3,-2.7,0.3,-4.7,0.9,-4.7,1,5.7,1.2,19.4,-1.6,-4.5,4.48,Human,0,-4.548,0
11,5.75,0,5.7,24,19.3,-4.7,1.0,19.1,-2.7,0.3,-4.7,0.9,-4.7,0,,,,,,4.48,Human,0.05,-4.548,-0.234
11,5.8,0,5.75,24,19.1,-4.7,1.0,18.9,-2.6,0.3,-4.7,0.9,-4.7,0,,,,,,4.48,Human,0.1,-4.548,-0.468
11,5.85,0,5.8,25,18.8,-4.6,0.8,18.6,-2.6,0.0,-4.7,0.9,-4.8,1,5.85,0.6,18.5,-2.6,-4.5,4.3,Human,0,-4.548,0
11,5.9,0,5.85,26,18.6,-4.6,0.4,18.5,-2.4,-0.4,-4.6,1.1,-4.7,1,5.9,0.0,18.6,-2.2,-4.5,4.13,Human,0,-4.548,0
11,5.95,0,5.9,26,18.4,-4.6,0.4,18.2,-2.4,-0.4,-4.6,1.1,-4.7,0,,,,,,4.13,Human,0.05,-4.548,-0.228
11,6.0,0,5.95,27,18.0,-4.9,0.5,17.9,-2.2,-0.2,-4.7,1.2,-4.8,1,6.0,0.6,17.8,-2.1,-5.0,3.97,Human,0,-5.035,0
11,6.05,0,6.0,28,17.8,-4.7,0.5,17.8,-1.6,-0.2,-4.6,1.8,-4.7,1,6.05,0.6,17.9,-0.7,-4.5,3.9,Human,0,-4.548,0
11,6.1,0,6.05,29,17.7,-4.5,0.5,17.6,-2.0,-0.2,-4.5,1.3,-4.6,1,6.1,0.6,17.7,-2.8,-4.4,3.81,Human,0,-4.385,0
