track_id,timestamp,Radar id,time_from_start,num assoc,range,doppler,x,y,z,vx,vy,vz,calc_dopp,is assoc,assoc_timestamp,assoc_x,assoc_y,assoc_z,assoc_dopp,z var,class,time_no_assoc,doppler history,range innov
19,25.2,0,24.25,18,15.1,-0.9,4.4,11.3,8.9,-0.6,-1.4,-0.2,-1.3,1,25.2,4.6,11.3,8.1,-0.8,1.77,Human,0,-0.812,0
19,25.25,0,24.3,19,14.9,-0.9,6.7,10.9,4.4,2.2,-1.8,-5.2,-1.9,1,25.25,9.6,10.5,-3.6,-1.0,9.85,Human,0,-0.974,0
19,25.3,0,24.35,19,14.8,-0.9,6.8,10.8,4.2,2.2,-1.8,-5.2,-1.8,0,,,,,,9.85,Human,0.05,-0.974,-0.047
19,25.35,0,24.4,20,14.7,-1.0,5.4,11.3,5.4,0.4,-1.1,-3.5,-2.0,1,25.35,4.1,11.9,7.5,-1.0,9.99,Human,0,-0.974,0
19,25.4,0,24.45,21,14.7,-1.0,5.0,11.2,6.4,-0.1,-1.2,-2.2,-1.9,1,25.4,4.6,11.1,8.4,-1.0,9.96,Human,0,-0.974,0
19,25.45,0,24.5,22,14.6,-1.0,4.6,11.1,7.2,-0.6,-1.3,-1.1,-1.7,1,25.45,4.1,10.9,8.8,-1.0,9.77,Human,0,-0.974,0
19,25.5,0,24.55,23,14.6,-1.1,4.2,11.2,7.6,-1.1,-1.1,-0.6,-1.4,1,25.5,3.7,11.5,8.4,-1.1,9.39,Human,0,-1.137,0
19,25.55,0,24.6,24,14.6,-1.1,4.1,11.0,8.1,-1.1,-1.2,-0.0,-1.3,1,25.55,4.1,10.8,9.0,-1.1,9.07,Human,0,-1.137,0
19,25.6,0,24.65,25,14.6,-1.0,4.1,11.0,8.2,-1.1,-1.1,0.1,-1.1,1,25.6,4.1,11.2,8.5,-1.0,8.7,Human,0,-0.974,0
19,25.65,0,24.7,26,14.6,-0.9,4.1,9.7,9.4,-1.0,-2.7,1.5,-1.1,1,25.65,4.1,8.0,11.6,-0.8,8.79,Human,0,-0.812,0
19,25.7,0,24.75,27,14.6,-0.9,4.3,9.1,10.0,-0.7,-3.2,2.1,-0.8,1,25.7,4.6,8.5,11.0,-0.8,8.55,Human,0,-0.812,0
19,25.8,0,24.85,28,14.6,-0.7,4.1,9.8,9.7,-0.8,-1.7,1.4,-0.4,1,25.8,4.1,10.9,8.9,-0.5,8.29,Human,0,-0.487,0
19,25.85,0,24.9,29,14.6,-0.7,4.3,9.9,9.7,-0.5,-1.4,1.3,-0.2,1,25.85,4.6,10.2,9.5,-0.7,8.0,Human,0,-0.65,0
19,25.9,0,24.95,29,14.5,-0.7,4.3,9.8,9.7,-0.5,-1.4,1.3,-0.2,0,,,,,,8.0,Human,0.05,-0.65,-0.033
19,25.95,0,25.0,29,14.5,-0.7,4.3,9.8,9.8,-0.5,-1.4,1.3,-0.2,0,,,,,,8.0,Human,0.1,-0.65,-0.066
19,26.0,0,25.05,29,14.5,-0.7,4.2,9.7,9.9,-0.5,-1.4,1.3,-0.2,0,,,,,,8.0,Human,0.15,-0.65,-0.099
19,26.05,0,25.1,29,14.4,-0.7,4.2,9.6,9.9,-0.5,-1.4,1.3,-0.2,0,,,,,,8.0,Human,0.2,-0.65,-0.132
19,26.1,0,25.15,29,14.4,-0.7,4.2,9.6,10.0,-0.5,-1.4,1.3,-0.2,0,,,,,,8.0,Human,0.25,-0.65,-0.166
