track_id,timestamp,Radar id,time_from_start,num assoc,range,doppler,x,y,z,vx,vy,vz,calc_dopp,is assoc,assoc_timestamp,assoc_x,assoc_y,assoc_z,assoc_dopp,z var,class,time_no_assoc,doppler history,range innov
5,4.45,0,4.3,16,24.4,-3.5,2.7,21.5,-11.0,0.7,-4.3,-2.0,-2.8,1,4.45,3.0,21.4,-11.4,-3.4,22.43,Human,0,-3.411,0
5,4.5,0,4.35,17,24.3,-3.5,2.9,20.1,-12.9,0.8,-5.7,-3.9,-2.6,1,4.5,3.0,18.9,-15.2,-3.6,22.02,Human,0,-3.573,0
5,4.55,0,4.4,17,24.1,-3.5,2.9,19.8,-13.1,0.8,-5.7,-3.9,-2.5,0,,,,,,22.02,Human,0.05,-3.573,-0.176
5,4.6,0,4.45,18,23.8,-3.5,2.6,19.8,-12.9,0.4,-5.4,-3.5,-2.6,1,4.6,2.2,20.0,-12.4,-3.4,20.76,Human,0,-3.411,0
5,4.65,0,4.5,18,23.6,-3.5,2.6,19.5,-13.0,0.4,-5.4,-3.5,-2.5,0,,,,,,20.76,Human,0.05,-3.411,-0.173
5,4.7,0,4.55,18,23.5,-3.5,2.6,19.2,-13.2,0.4,-5.4,-3.5,-2.5,0,,,,,,20.76,Human,0.1,-3.411,-0.346
5,4.75,0,4.6,18,23.3,-3.5,2.6,19.0,-13.4,0.4,-5.4,-3.5,-2.4,0,,,,,,20.76,Human,0.15,-3.411,-0.519
5,4.8,0,4.65,18,23.1,-3.5,2.6,18.7,-13.6,0.4,-5.4,-3.5,-2.3,0,,,,,,20.76,Human,0.2,-3.411,-0.692
5,4.85,0,4.7,18,22.9,-3.5,2.7,18.4,-13.7,0.4,-5.4,-3.5,-2.2,0,,,,,,20.76,Human,0.25,-3.411,-0.865
5,4.9,0,4.75,19,22.8,-3.4,2.8,19.2,-12.2,0.5,-4.3,-1.8,-2.6,1,4.9,2.8,19.6,-11.3,-3.4,19.95,Human,0,-3.411,0
5,4.95,0,4.8,20,22.7,-3.4,2.5,19.8,-11.1,0.1,-3.4,-0.5,-2.7,1,4.95,2.1,20.6,-9.6,-3.4,19.27,Human,0,-3.411,0
5,5.0,0,4.85,20,22.5,-3.4,2.5,19.7,-11.1,0.1,-3.4,-0.5,-2.7,0,,,,,,19.27,Human,0.05,-3.411,-0.171
5,5.05,0,4.9,20,22.4,-3.4,2.5,19.5,-11.1,0.1,-3.4,-0.5,-2.7,0,,,,,,19.27,Human,0.1,-3.411,-0.341
43,40.3,0,40.15,38,6.9,-0.6,-0.4,5.6,4.1,-0.1,-0.9,0.5,-0.4,1,40.3,-0.4,5.3,3.7,-0.7,7.37,Human,0,-0.65,0
43,40.35,0,40.2,39,6.7,-0.6,-0.4,5.3,4.1,-0.1,-1.1,0.5,-0.6,1,40.35,-0.4,5.0,4.1,-0.7,7.18,Human,0,-0.65,0
43,40.4,0,40.25,40,6.6,-0.7,-0.4,5.3,4.0,-0.1,-1.1,0.4,-0.7,1,40.4,-0.4,5.3,3.8,-0.8,6.99,Human,0,-0.812,0
43,40.45,0,40.3,41,6.6,-0.8,-0.4,5.2,4.0,-0.1,-1.1,0.3,-0.7,1,40.45,-0.4,5.2,3.9,-0.8,6.82,Human,0,-0.812,0
43,40.5,0,40.35,42,6.5,-0.7,-0.3,5.2,3.9,-0.0,-1.0,0.2,-0.7,1,40.5,-0.2,5.3,3.7,-0.7,6.66,Human,0,-0.65,0
43,40.55,0,40.4,43,6.5,-0.8,-0.3,5.1,4.1,0.0,-1.2,0.3,-0.7,1,40.55,-0.2,4.9,4.3,-1.0,6.5,Human,0,-0.974,0
43,40.6,0,40.45,44,6.5,-1.0,-0.2,5.1,4.0,0.1,-1.0,0.2,-0.7,1,40.6,-0.2,5.3,3.8,-1.1,6.35,Human,0,-1.137,0
43,40.65,0,40.5,45,6.5,-1.0,-0.2,4.8,4.3,0.1,-1.4,0.5,-0.7,1,40.65,-0.2,4.4,4.8,-1.0,6.22,Human,0,-0.974,0
43,40.7,0,40.55,46,6.4,-0.8,-0.2,4.9,4.2,0.1,-1.1,0.4,-0.6,1,40.7,-0.2,5.1,4.0,-0.7,6.08,Human,0,-0.65,0
43,40.75,0,40.6,47,6.4,-0.7,-0.3,5.1,4.0,-0.0,-0.9,0.2,-0.5,1,40.75,-0.4,5.4,3.7,-0.7,5.96,Human,0,-0.65,0
43,40.8,0,40.65,47,6.4,-0.7,-0.3,5.0,4.0,-0.0,-0.9,0.2,-0.5,0,,,,,,5.96,Human,0.05,-0.65,-0.037
43,40.85,0,40.7,48,6.4,-0.6,-0.4,5.0,4.1,-0.1,-0.8,0.2,-0.5,1,40.85,-0.4,5.0,4.1,-0.5,5.83,Human,0,-0.487,0
43,40.9,0,40.75,49,6.4,-0.8,-0.4,4.6,4.4,-0.1,-1.2,0.6,-0.5,1,40.9,-0.4,4.2,4.9,-1.0,5.72,Human,0,-0.974,0
43,40.95,0,40.8,50,6.4,-0.6,-0.5,4.6,4.5,-0.2,-1.2,0.6,-0.4,1,40.95,-0.6,4.7,4.5,-0.3,5.61,Human,0,-0.325,0
43,41.0,0,40.85,51,6.5,-0.5,-0.5,5.0,4.1,-0.2,-0.6,0.1,-0.4,1,41.0,-0.4,5.6,3.3,-0.5,5.52,Human,0,-0.487,0
43,41.05,0,40.9,52,6.5,-0.4,-0.4,5.1,4.0,-0.1,-0.5,0.1,-0.3,1,41.05,-0.4,5.2,3.9,-0.3,5.42,Human,0,-0.325,0
43,41.1,0,40.95,53,6.5,-0.4,-0.4,5.1,4.0,-0.1,-0.4,0.0,-0.3,1,41.1,-0.4,5.2,3.8,-0.3,5.31,Human,0,-0.325,0
43,41.15,0,41.0,53,6.4,-0.4,-0.4,5.1,4.0,-0.1,-0.4,0.0,-0.3,0,,,,,,5.31,Human,0.05,-0.325,-0.019
43,41.2,0,41.05,54,6.5,-0.4,-0.3,5.0,4.1,0.0,-0.5,0.1,-0.3,1,41.2,-0.2,4.9,4.2,-0.5,5.21,Human,0,-0.487,0
43,41.25,0,41.1,54,6.4,-0.4,-0.3,5.0,4.1,0.0,-0.5,0.1,-0.3,0,,,,,,5.21,Human,0.05,-0.487,-0.022
43,41.3,0,41.15,54,6.4,-0.4,-0.3,5.0,4.1,0.0,-0.5,0.1,-0.3,0,,,,,,5.21,Human,0.1,-0.487,-0.044
